Tên,Giá máy mới,Giá máy cũ,CPU,RAM,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Tốc độ Bus RAM,Số nhân,Số luồng,Kích thước màn hình,Ổ cứng,Công nghệ màn hình,Độ phân giải,Công nghệ âm thanh,Card đồ họa,Cổng giao tiếp,WiFi,Bluetooth,Camera,Hệ điều hành,Kích thước,Trọng lượng,Thông tin Pin,Khe đọc thẻ nhớ,Nhà bán,Là máy cũ
Laptop Acer Nitro 5 Gaming AN515 57 74NU i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Balo/Win10 (NH.QD9SV.001.),28990000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Tấm nền IPS
LED Backlit
Acer ComfyView",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),28590000,0,Intel Core i5 Tiger Lake - 1135G7,16,2.4,4.2,LPDDR4X (On board),4266,4,8,13.3,512 GB SSD NVMe PCIe,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",QHD (2560 x 1600),Audio by Harman/Kardon Dolby Atmos,Card tích hợp - Intel Iris Xe Graphics,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,Camera IR HD webcam,Windows 10 Home SL,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm,0.966,"Li-Polymer, 50 Wh",,Điện máy xanh,0
Laptop Asus TUF Gaming FX516PC i7 11370H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN001T),28490000,0,Intel Core i7 Tiger Lake - 11370H,8,3.3,4.8,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,15.6,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,Không tích hợp,Windows 10 Home SL,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm,2,"4-cell Li-ion, 76 Wh",,Điện máy xanh,0
Laptop Lenovo Yoga 7 14ITL5 i7 1165G7/8GB/512GB/Touch/Pen/Win10 (82BH00CKVN),28490000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (On board),3200,4,8,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",300 nits Glossy Tấm nền IPS,Full HD (1920 x 1080),Dolby Atmos Stereo speakers,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2 (Always on)
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 320.4 mm - Rộng 214.6 mm - Dày 17.7 mm,1.43,71 Wh,,Điện máy xanh,0
Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/16GB/512GB/Touch/Pen/Win10 (20WE004FVN),28290000,0,Intel Core i7 Tiger Lake - 1165G7,16,2.8,4.7,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200,4,8,14,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Dolby Audio Sound by Dynaudio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm,1.5,60Wh,Micro SD,Điện máy xanh,0
Laptop Acer Nitro 5 AN515 57 54AF i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.004),28990000,0,Intel Core i5 Tiger Lake - 11400H,16,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Acer ComfyView
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 11 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop Asus TUF Gaming FX506HCB i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN141T),27990000,0,Intel Core i7 Tiger Lake - 11800H,8,2.3,4.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,8,16,15.6,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,"Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm,2.3,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop HP Pavilion Gaming 15 dk1159TX i7 10750H/8GB/32GB+512GB/4GB GTX1650Ti/Win10 (31J36PA),27990000,0,Intel Core i7 Comet Lake - 10750H,8,2.6,5,DDR4 (2 khe),2933,6,12,15.6,"512 GB SSD NVMe PCIe
Intel Optane 32GB (H10)
Hỗ trợ khe cắm HDD SATA","Tấm nền IPS
Chống chói Anti Glare
LED Backlit",Full HD (1920 x 1080),Bang & Olufsen audio,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)
HDMI
LAN (RJ45)
3 x USB A",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 360 mm - Rộng 256 mm - Dày 23.4 mm,2.23,"3-cell Li-ion, 52.5 Wh",SD,Điện máy xanh,0
Laptop Dell Gaming G15 5515 R5 5600H/16GB/512GB/4GB RTX3050/120Hz/Win10 (P105F004BGR),27590000,0,AMD Ryzen 5 - 5600H,16,3.3,4.2,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Nahimic Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 357.26 mm - Rộng 272.11 mm - Dày 26.9 mm,2.8,"3-cell Li-ion, 56 Wh",,Điện máy xanh,0
Laptop Asus ZenBook Flip UX363EA i5 1135G7/8GB/512GB/OLED/Touch/Pen/Win10 (HP130T),27490000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,LPDDR4X (On board),4267,4,8,13.3,512 GB SSD NVMe PCIe,"100% DCI-P3
400 nits
OLED",Full HD (1920 x 1080) OLED,Audio by Harman/Kardon SonicMaster audio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,Camera IR HD webcam,Windows 10 Home SL,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm,1.3,"4-cell Li-ion, 67 Wh",,Điện máy xanh,0
Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/8GB/512GB/Touch/Pen/Win10 (20WE004EVN),27390000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,14,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Dolby Audio Sound by Dynaudio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm,1.5,60Wh,Micro SD,Điện máy xanh,0
Laptop Gigabyte G5 i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (51S1121SH),26990000,0,Intel Core i5 Tiger Lake - 11400H,16,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",Chống chói Anti Glare Công nghệ IPS,Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm,2.2,"4-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Lenovo Yoga Duet 7 13IML05 i5 10210U/8GB/512GB/Touch/Pen/Win10 (82AS007BVN),26590000,0,Intel Core i5 Comet Lake - 10210U,8,1.6,4.2,DDR4 (On board),2666,4,8,13,512 GB SSD NVMe PCIe,"Tấm nền IPS
450 nits Glossy
Dolby Vision",WQHD (2160x1350),Dolby AudioPremium,Card tích hợp - Intel UHD Graphics,"2 x USB Type-C (Power Delivery and DisplayPort)
USB Type-C
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,"Sau 5 MP, trước 5 MP Camera IR",Windows 10 Home SL,Dài 297.4 mm - Rộng 207.4 mm - Dày 9.19 mm,1.1683,"Li-Polymer, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Lenovo Ideapad Gaming 3 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650Ti/120Hz/Win10 (81Y4013UVN),25990000,0,Intel Core i7 Comet Lake - 10750H,8,2.6,5,DDR4 (2 khe),2933,6,12,15.6,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"Tấm nền IPS
Chống chói Anti-Glare
250 nits",Full HD (1920 x 1080),Dolby Audio,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 249.6 mm - Dày 24.9 mm,2.2,45 Wh,,Điện máy xanh,0
Laptop Acer Swift 5 SF514 53T 720R i7 8565U/8GB/256GB/Touch/Win10 (NX.H7HSV.002),27990000,0,Intel Core i7 Coffee Lake - 8565U,8,1.8,4.6,DDR4 (1 khe),2133,4,8,14,256 GB SSD NVMe PCIe,Tấm nền IPS,Full HD (1920 x 1080),Acer TrueHarmony Dolby AudioPremium,Card tích hợp - Intel UHD Graphics 620,"HDMI
2 x USB 3.0
USB Type-C
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 329 mm - Rộng 228 mm - Dày 14.9 mm,0.94,2-cell Li-Polymer,,Điện máy xanh,0
Laptop Asus TUF Gaming FX506HCB i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN139T),25690000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,15.6,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,"Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm,2.3,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Asus TUF Gaming FX506HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN002T),25690000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),2933,6,12,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,Tấm nền IPS Chống chói Anti Glare,Full HD (1920 x 1080),DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm,2.3,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Dell Gaming G5 15 5505 R5 4600H/8GB/512GB/6GB RX5600M/120Hz/Win10 (70252801),25590000,0,AMD Ryzen 5 - 4600H,8,3,4,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Nahimic Audio,"Card rời - AMD Radeon RX 5600M, 6 GB","Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
Mini DisplayPort
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 364.46 mm - Rộng 254 mm - Dày 30.9 mm,2.5,"3-cell Li-ion, 51 Wh",SD,Điện máy xanh,0
Laptop Dell Gaming G5 15 5505 R5 4600H/8GB/512GB/6GB RX5600M/120Hz/Win10 (70252801),25590000,0,AMD Ryzen 5 - 4600H,8,3,4,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Nahimic Audio,"Card rời - AMD Radeon RX 5600M, 6 GB","Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
Mini DisplayPort
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 364.46 mm - Rộng 254 mm - Dày 30.9 mm,2.5,"3-cell Li-ion, 51 Wh",SD,Điện máy xanh,0
Laptop Lenovo Yoga 7 14ITL5 i5 1135G7/8GB/512GB/Touch/Pen/Win10 (82BH00CJVN),25590000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board),3200,4,8,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",300 nits Glossy Tấm nền IPS,Full HD (1920 x 1080),Dolby Atmos Stereo speakers,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2 (Always on)
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 320.4 mm - Rộng 214.6 mm - Dày 17.7 mm,1.43,71 Wh,,Điện máy xanh,0
Laptop Dell Vostro 3400 i7 1165G7/8GB/512GB/2GB MX330/Win10 (V4I7015W),25490000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (2 khe),3200,,,14,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"60Hz
Chống chói Anti Glare
WVA
LED Backlit",Full HD (1920 x 1080),Realtek High Definition Audio,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài Dài 328.7 mm - Rộng Rộng 239.5 mm - Dày Dày 19.9 mm,1.64,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Lenovo ThinkBook 14s Yoga ITL i5 1135G7/16GB/512GB/Touch/Pen/Win10 (20WE004DVN),25490000,0,Intel Core i5 Tiger Lake - 1135G7,16,2.4,4.2,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200,4,8,14,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Dolby Audio Sound by Dynaudio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm,1.5,60Wh,Micro SD,Điện máy xanh,0
Laptop Acer Nitro 5 Gaming AN515 57 54MV i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.003),26490000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Acer ComfyView
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 11 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop Acer Nitro 5 AN515 57 51G6 i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (NH.QD8SV.002),24990000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Tấm nền IPS
LED Backlit
Acer ComfyView",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop Lenovo ThinkBook 14s Yoga ITL i5 1135G7/8GB/512GB/Touch/Pen/Win10 (20WE004CVN),24390000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,14,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Dolby Audio Sound by Dynaudio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm,1.5,60Wh,Micro SD,Điện máy xanh,0
Laptop HP Gaming VICTUS 16 e0175AX R5 5600H/8GB/512GB/4GB RTX3050/144Hz/Win10 (4R0U8PA),24290000,0,AMD Ryzen 5 - 5600H,8,3.3,4.2,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,6,12,16.1,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
Không hỗ trợ khe cắm HDD
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Công nghệ IPS",Full HD (1920 x 1080),Bang & Olufsen audio HP Audio Boost,"Card rời - NVIDIA GeForce RTX3050, 4 GB","3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm,2.46,"4-cell Li-ion, 70 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 3501 i7 1165G7/8GB/512GB/2GB MX330/OfficeH&S 2019/Win10 (70253898),24090000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (2 khe),3200,4,8,15.6,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek High Definition Audio,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.91,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 3501 i7 1165G7/8GB/512GB/2GB MX330/Win10 (70234075),23790000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (2 khe),3200,,,15.6,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,"60Hz
Chống chói Anti Glare
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.91,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Asus ZenBook UX325EA i5 1135G7/8GB/512GB/OLED/Cáp/Túi/Win10 (KG363T),23790000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,LPDDR4X (On board),4267,4,8,13.3,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","100% DCI-P3
400 nits
OLED",Full HD (1920 x 1080) OLED,Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,Camera IR HD webcam,Windows 10 Home SL,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm,1.14,"4-cell Li-ion, 67 Wh",Micro SD,Điện máy xanh,0
Laptop Asus ZenBook UX425EA i5 1135G7/8GB/512GBCáp/Túi/Win10 (KI429T),23490000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,LPDDR4X (On board),4266,4,8,14,512 GB SSD NVMe PCIe,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
100% sRGB
400 nits",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"2 x Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam Camera IR,Windows 10 Home SL,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm,1.17,"4-cell Li-ion, 67 Wh",Micro SD,Điện máy xanh,0
